Grid_Ref	longitude	latitude	Rainforest.P	Residential.P	Fruit.P	Other.P	Total_Road	Sightings	Strikes	Residential.01	Fruit.01	Dresid	Dfruit
K18	395500	8020500	0.621356	0.213668	0.0165848	0.148391	0.202595	0	0	1	1	64.6115569356	208.793745709
K19	395500	8019500	0.328714	0.121513	0.453864	0.0959092	1.379525	0	0	1	1	291.016778313	0
K20	395500	8018500	0.627738	0.232473	0	0.139788	1.707818	6	0	1	0	0	691.165787558
K21	395500	8017500	1	0	0	0	0.228474	12	0	0	0	599.217651698	1503.29869058
K27	395500	8011500	0.0426219	0	0	0.957378	1.124577	0	0	0	0	1313.68037967	932.693029704
K28	395500	8010500	0	0	0	1	1.000383	0	0	0	0	972.796207885	1656.52326097
K29	395500	8009500	0	0	0	1	1.669623	0	0	0	0	839.510447782	876.41415611
K30	395500	8008500	0.144319	0	0.249204	0.606478	1.1073544	0	0	0	1	542.100121392	88.8348645366
L01	396500	8037500	0.372286	0.264905	0	0.362809	2.3123005	0	0	1	0	37.2066525592	2231.83232016
L02	396500	8036500	0.21217	0	0	0.78783	1.028251	0	0	0	0	621.40223235	2486.66847639
L03	396500	8035500	0.267413	0	0	0.732587	1.00006	0	0	0	0	1607.41592825	2379.35340067
L04	396500	8034500	0	0	0	1	1.00006	0	0	0	0	2604.11812298	1768.9039626
L05	396500	8033500	0	0	0	1	1.561756	0	0	0	0	2433.63256744	836.131861746
L06	396500	8032500	0	0	0.0218054	0.978195	2.5547416	0	0	0	1	1806.28305768	408.891312842
L07	396500	8031500	0.10306	0	0.00248376	0.894456	0.73978	0	0	0	1	1381.98165657	636.901575274
L08	396500	8030500	0.190602	0	0.00500029	0.804398	1.00483	0	0	0	1	825.319441145	616.051951798
L11	396500	8027500	0.00596455	0	0.0345004	0.959535	1.01239	0	0	0	1	2773.40830676	364.348556796
L13	396500	8025500	0.472402	0	0	0.527598	1.1732614	0	0	0	0	2578.54274254	648.74926889
L21	396500	8017500	1	0	0	0	1.11701	1	0	0	0	1105.54688111	1257.16432752
L22	396500	8016500	0.840986	0	0.159014	0	0.432972	1	0	0	1	1847.38534789	257.28556035
L28	396500	8010500	0	0.047978	0	0.952022	0.270932	0	0	1	0	337.449064976	1718.63722224
L29	396500	8009500	0.409002	0.00144988	0	0.589548	1.416471	0	0	1	0	503.097675165	1418.13252988
M01	397500	8037500	0.00487593	0	0	0.995124	1.505242	0	0	0	0	574.609213749	1476.39384561
M02	397500	8036500	0.103411	0	0	0.896589	0.638971	0	0	0	0	1113.00949225	1506.84997402
M03	397500	8035500	0.108909	0	0	0.891091	0.60087	0	0	0	0	1978.82872624	2010.82727534
M06	397500	8032500	0.0600032	0	0.176728	0.763269	1.922706	0	0	0	1	2046.44718551	108.556652651
M08	397500	8030500	0.455869	0.070025	0.141463	0.332643	0.884117	2	0	1	1	52.8248596121	0
M09	397500	8029500	0.855551	0	0.00965587	0.134793	0.364496	1	0	0	1	577.737186019	400.697420454
M11	397500	8027500	0.43153	0	0.226248	0.342222	0.641391	0	0	0	1	2577.33133204	0
